名字,组成
达原饮,"['槟榔', '厚朴', '草果知母', '芍药', '黄芩', '甘草']"
常山饮,"['常山', '草果', '槟榔', '知母', '贝母', '乌梅', '煨生姜片', '大枣']"
黄连温胆汤,"['川黄连', '竹茹', '枳实', '甘草', '生姜', '茯苓']"
正容汤,"['羌活', '白附子', '防风', '秦艽', '胆南星', '白僵蚕', '制夏', '木瓜', '甘草', '茯神木']"
白金丸,"['白矾', '郁金']"
三生饮,"['生南星', '木香', '生川乌', '生附子']"
温胆汤,"['竹茹', '麸枳实', '茯苓', '炙甘草', '生姜片', '大枣']"
半夏秫米汤,['秫米']
甘遂半夏汤,"['甘遂', '芍药', '炙甘草']"
泽泻汤,"['泽泻', '白术']"
控涎丹,"['甘遂', '大戟', '白芥子']"
茯苓桂枝白术甘草汤,"['茯苓', '桂枝', '白术', '甘草']"
导痰汤,"['炮天南星', '橘红', '麸瓤枳实', '赤茯苓', '炙甘草']"
升阳除湿防风汤,"['泔浸苍术', '防风', '白术', '白茯苓', '白芍']"
鸡鸣散,"['槟榔', '木瓜', '吴茱萸', '桔梗', '和生姜', '紫苏茎叶']"
甘露消毒丹,"['飞滑石', '淡黄芩', '绵茵陈', '石菖蒲', '川贝母', '木通', '藿香', '连翘', '白豆蔻', '薄荷', '射干']"
连朴饮,"['制厚朴', '姜汁川连', '石菖蒲', '制夏', '香豉', '焦栀', '芦根']"
藿朴夏苓汤,"['藿香', '赤苓', '杏仁', '生苡仁', '白蔻仁', '通草', '猪苓', '淡豆豉', '泽泻', '厚朴']"
萆薢分清饮,"['川萆薢', '益智仁', '石菖蒲', '乌药']"
栝楼瞿麦丸,"['栝楼根', '茯苓直', '薯蓣', '炮附子', '瞿麦']"
化阴煎,"['生地黄', '熟地黄', '牛膝', '猪苓', '泽泻', '生黄柏', '生知母', '绿豆', '龙胆草', '车前子']"
石韦散,"['毛石韦', '瞿麦', '滑石', '车前子', '冬葵子']"
五淋散,"['赤茯苓', '芦当归', '甘草生用', '芦赤芍', '山栀子仁']"
千金鲤鱼汤,"['鲤鱼尾', '白术', '茯苓', '芍药', '当归', '生姜']"
茵陈五苓散,"['茵陈', '泽泻', '猪苓', '茯苓', '白术']"
通关丸,"['黄柏', '知母', '肉桂']"
五皮散,"['生姜', '桑白', '陈橘', '大腹', '茯苓']"
导水茯苓汤,"['赤茯苓', '麦门冬', '泽泻', '白术', '桑白', '大腹', '紫苏', '槟榔', '木瓜', '木香', '砂仁']"
甘草干姜茯苓白术汤,"['甘草', '白术', '干姜', '茯苓']"
